entity_id,entity_type,time_index,fiware_servicepath,__original_ngsi_entity__,tvoc,eco2,humedad,temperatura
nodo1,nodo1,1627482065619,,,12.0,480.0,6.0,43.0
nodo1,nodo1,1627482097260,,,9.0,465.0,7.0,43.0
nodo1,nodo1,1627482160535,,,14.0,496.0,6.0,43.0
nodo1,nodo1,1627482287075,,,16.0,508.0,6.0,43.0
nodo1,nodo1,1627482413618,,,10.0,470.0,6.0,43.0
nodo1,nodo1,1627482540151,,,7.0,446.0,6.0,43.0
nodo1,nodo1,1627482571785,,,7.0,451.0,6.0,43.0
nodo1,nodo1,1627482824869,,,10.0,470.0,7.0,43.0
nodo1,nodo1,1627483109573,,,5.0,434.0,6.0,43.0
nodo1,nodo1,1627483267752,,,3.0,423.0,7.0,43.0
nodo1,nodo1,1627483299377,,,5.0,434.0,7.0,43.0
nodo1,nodo1,1627483489183,,,3.0,423.0,7.0,43.0
nodo1,nodo1,1627483552454,,,1.0,409.0,7.0,43.0
nodo1,nodo1,1627483837163,,,0.0,400.0,7.0,43.0
nodo1,nodo1,1627483868797,,,0.0,405.0,7.0,43.0
nodo1,nodo1,1627476750157,,,3.0,420.0,8.0,44.0
nodo1,nodo1,1627476781780,,,3.0,422.0,8.0,44.0
nodo1,nodo1,1627476845072,,,0.0,400.0,8.0,44.0
nodo1,nodo1,1627476876692,,,0.0,405.0,7.0,44.0
nodo1,nodo1,1627476939965,,,0.0,406.0,7.0,44.0
nodo1,nodo1,1627477066697,,,2.0,415.0,7.0,44.0
nodo1,nodo1,1627477098331,,,0.0,405.0,7.0,44.0
nodo1,nodo1,1627477225473,,,3.0,423.0,7.0,44.0
nodo1,nodo1,1627477288741,,,7.0,447.0,7.0,44.0
nodo1,nodo1,1627477320403,,,5.0,439.0,7.0,44.0
nodo1,nodo1,1627472827384,,,7.0,448.0,11.0,43.0
nodo1,nodo1,1627472859024,,,8.0,454.0,11.0,43.0
nodo1,nodo1,1627473017205,,,0.0,405.0,11.0,43.0
nodo1,nodo1,1627473207013,,,1.0,413.0,11.0,43.0
nodo1,nodo1,1627473396822,,,0.0,405.0,11.0,43.0
nodo1,nodo1,1627473523358,,,0.0,400.0,11.0,43.0
nodo1,nodo1,1627473776450,,,0.0,403.0,10.0,44.0
nodo1,nodo1,1627473902990,,,1.0,408.0,10.0,44.0
nodo1,nodo1,1627473997898,,,0.0,400.0,10.0,44.0
nodo1,nodo1,1627474124442,,,0.0,403.0,10.0,44.0
nodo1,nodo1,1627475326591,,,0.0,403.0,10.0,44.0
nodo1,nodo1,1627475358221,,,1.0,408.0,10.0,44.0
nodo1,nodo1,1627475389854,,,0.0,405.0,9.0,44.0
nodo1,nodo1,1627475642935,,,1.0,408.0,9.0,44.0
nodo1,nodo1,1627475801112,,,3.0,425.0,9.0,44.0
nodo1,nodo1,1627475864382,,,1.0,407.0,9.0,44.0
nodo1,nodo1,1627475990905,,,2.0,416.0,9.0,44.0
nodo1,nodo1,1627476149099,,,0.0,405.0,9.0,44.0
nodo1,nodo1,1627476402167,,,1.0,409.0,9.0,44.0
nodo1,nodo1,1626783166001,,,0.0,400.0,27.0,26.0
nodo1,nodo1,1626783450536,,,1.0,409.0,27.0,27.0
nodo1,nodo1,1626783545399,,,0.0,400.0,26.0,27.0
nodo1,nodo1,1626783761751,,,1.0,408.0,26.0,27.0
nodo1,nodo1,1626783793354,,,1.0,411.0,26.0,27.0
nodo1,nodo1,1626783856619,,,0.0,405.0,26.0,27.0
nodo1,nodo1,1626783951441,,,1.0,407.0,26.0,27.0
nodo1,nodo1,1626784014696,,,5.0,439.0,26.0,27.0
nodo1,nodo1,1626784330910,,,0.0,403.0,25.0,27.0
nodo1,nodo1,1627469410785,,,0.0,400.0,21.0,40.0
nodo1,nodo1,1627479091937,,,8.0,456.0,7.0,44.0
nodo1,nodo1,1627479376651,,,5.0,438.0,6.0,44.0
nodo1,nodo1,1627479408283,,,10.0,470.0,6.0,44.0
nodo1,nodo1,1627479566452,,,5.0,438.0,7.0,44.0
nodo1,nodo1,1627479661360,,,2.0,414.0,6.0,44.0
nodo1,nodo1,1627479692988,,,0.0,405.0,6.0,44.0
nodo1,nodo1,1627479787892,,,1.0,410.0,6.0,44.0
nodo1,nodo1,1627477794901,,,2.0,414.0,7.0,44.0
nodo1,nodo1,1627477921434,,,0.0,403.0,7.0,44.0
nodo1,nodo1,1627478174518,,,3.0,425.0,8.0,44.0
nodo1,nodo1,1627478301055,,,0.0,400.0,8.0,44.0
nodo1,nodo1,1627478395972,,,0.0,406.0,8.0,44.0
nodo1,nodo1,1627478554163,,,1.0,410.0,8.0,44.0
nodo1,nodo1,1627481053323,,,1.0,410.0,5.0,43.0
nodo1,nodo1,1627481148211,,,1.0,408.0,5.0,43.0
nodo1,nodo1,1627481369655,,,0.0,400.0,5.0,43.0
nodo1,nodo1,1627481496198,,,1.0,408.0,5.0,43.0
nodo1,nodo1,1627481686010,,,2.0,415.0,6.0,43.0
nodo1,nodo1,1627480104307,,,0.0,400.0,6.0,44.0
nodo1,nodo1,1627480262433,,,4.0,428.0,5.0,44.0
nodo1,nodo1,1627480420608,,,4.0,428.0,5.0,44.0
nodo1,nodo1,1627480642059,,,2.0,417.0,5.0,44.0
nodo1,nodo1,1627474440798,,,0.0,403.0,10.0,44.0
nodo1,nodo1,1627474472424,,,0.0,400.0,10.0,44.0
nodo1,nodo1,1627474662240,,,0.0,405.0,10.0,44.0
nodo1,nodo1,1627474757148,,,0.0,406.0,10.0,44.0
nodo1,nodo1,1627506709791,,,12.0,482.0,2.0,43.0
nodo1,nodo1,1627506899623,,,12.0,480.0,2.0,43.0
nodo1,nodo1,1627507089421,,,13.0,486.0,2.0,43.0
nodo1,nodo1,1627507184334,,,11.0,476.0,2.0,43.0
nodo1,nodo1,1627507342520,,,14.0,492.0,2.0,43.0
nodo1,nodo1,1627507563978,,,18.0,524.0,2.0,43.0
nodo1,nodo1,1627507627244,,,18.0,523.0,2.0,43.0
nodo1,nodo1,1627507658889,,,16.0,508.0,2.0,43.0
nodo1,nodo1,1627507785453,,,20.0,536.0,2.0,43.0
nodo1,nodo1,1627507975262,,,27.0,578.0,2.0,43.0
nodo1,nodo1,1627508196716,,,29.0,594.0,2.0,43.0
nodo1,nodo1,1627508228359,,,25.0,566.0,2.0,43.0
nodo1,nodo1,1627508386537,,,24.0,564.0,2.0,43.0
nodo1,nodo1,1627508418170,,,26.0,577.0,2.0,43.0
nodo1,nodo1,1627508544711,,,24.0,560.0,2.0,43.0
nodo1,nodo1,1627508797807,,,25.0,565.0,2.0,43.0
nodo1,nodo1,1627508924353,,,23.0,555.0,2.0,43.0
nodo1,nodo1,1627509145824,,,25.0,565.0,2.0,43.0
nodo1,nodo1,1627509398911,,,27.0,580.0,2.0,43.0
nodo1,nodo1,1627509430547,,,28.0,588.0,2.0,43.0
nodo1,nodo1,1627509557088,,,17.0,517.0,2.0,43.0
nodo1,nodo1,1627509841833,,,14.0,493.0,2.0,43.0
nodo1,nodo1,1627510031641,,,14.0,495.0,3.0,43.0
nodo1,nodo1,1627510158206,,,9.0,461.0,3.0,43.0
nodo1,nodo1,1627510221472,,,13.0,488.0,3.0,43.0
nodo1,nodo1,1627510348031,,,17.0,518.0,3.0,43.0
nodo1,nodo1,1627510411304,,,23.0,556.0,3.0,43.0
nodo1,nodo1,1627510601123,,,25.0,567.0,3.0,43.0
nodo1,nodo1,1627510759303,,,25.0,567.0,3.0,43.0
nodo1,nodo1,1627510790935,,,24.0,560.0,3.0,43.0
nodo1,nodo1,1627511012407,,,22.0,549.0,3.0,43.0
nodo1,nodo1,1627511075661,,,22.0,546.0,3.0,43.0
nodo1,nodo1,1627511138962,,,21.0,542.0,3.0,43.0
nodo1,nodo1,1627511265486,,,31.0,605.0,3.0,43.0
nodo1,nodo1,1627511423694,,,25.0,570.0,3.0,43.0
nodo1,nodo1,1627511455304,,,23.0,553.0,3.0,43.0
nodo1,nodo1,1627511550226,,,22.0,546.0,3.0,43.0
nodo1,nodo1,1627511676758,,,26.0,572.0,2.0,43.0
nodo1,nodo1,1627511929859,,,16.0,506.0,2.0,43.0
nodo1,nodo1,1627511993204,,,18.0,520.0,2.0,43.0
nodo1,nodo1,1627512341126,,,13.0,491.0,3.0,43.0
nodo1,nodo1,1627512372766,,,15.0,500.0,2.0,43.0
nodo1,nodo1,1627512562581,,,17.0,515.0,2.0,43.0
nodo1,nodo1,1627512657518,,,18.0,520.0,2.0,43.0
nodo1,nodo1,1627512815672,,,25.0,567.0,2.0,43.0
nodo1,nodo1,1627512847312,,,22.0,546.0,2.0,43.0
nodo1,nodo1,1627513037134,,,25.0,565.0,2.0,43.0
nodo1,nodo1,1627513100406,,,21.0,542.0,2.0,43.0
nodo1,nodo1,1627513132044,,,18.0,524.0,2.0,43.0
nodo1,nodo1,1627513163691,,,14.0,496.0,2.0,43.0
nodo1,nodo1,1627513290250,,,9.0,462.0,2.0,43.0
nodo1,nodo1,1627513385160,,,11.0,475.0,2.0,43.0
nodo1,nodo1,1627513480069,,,11.0,477.0,2.0,43.0
nodo1,nodo1,1627513543353,,,5.0,439.0,2.0,43.0
nodo1,nodo1,1627513796451,,,5.0,439.0,3.0,43.0
nodo1,nodo1,1627513922985,,,5.0,433.0,3.0,43.0
nodo1,nodo1,1627513986258,,,4.0,432.0,3.0,43.0
nodo1,nodo1,1627514112800,,,11.0,476.0,4.0,43.0
nodo1,nodo1,1627514144436,,,12.0,482.0,4.0,42.0
nodo1,nodo1,1627514176081,,,12.0,480.0,4.0,42.0
nodo1,nodo1,1627514270992,,,10.0,472.0,4.0,42.0
nodo1,nodo1,1627514302629,,,9.0,463.0,4.0,42.0
nodo1,nodo1,1627514397535,,,9.0,463.0,5.0,42.0
nodo1,nodo1,1627514460816,,,8.0,457.0,5.0,42.0
nodo1,nodo1,1627514492441,,,7.0,448.0,5.0,42.0
nodo1,nodo1,1627514618988,,,5.0,439.0,5.0,42.0
nodo1,nodo1,1627514808814,,,7.0,446.0,6.0,42.0
nodo1,nodo1,1627514966982,,,5.0,433.0,7.0,42.0
nodo1,nodo1,1627515093538,,,2.0,416.0,7.0,42.0
nodo1,nodo1,1627500382485,,,18.0,524.0,4.0,43.0
nodo1,nodo1,1627500414109,,,23.0,556.0,4.0,43.0
nodo1,nodo1,1627500509037,,,25.0,565.0,4.0,43.0
nodo1,nodo1,1627500603919,,,19.0,531.0,4.0,43.0
nodo1,nodo1,1627500635564,,,23.0,556.0,4.0,43.0
nodo1,nodo1,1627500667395,,,23.0,555.0,4.0,43.0
nodo1,nodo1,1627500730666,,,18.0,524.0,3.0,43.0
nodo1,nodo1,1627500793927,,,21.0,542.0,3.0,43.0
nodo1,nodo1,1627500952105,,,17.0,514.0,4.0,43.0
nodo1,nodo1,1627501047097,,,21.0,542.0,3.0,43.0
nodo1,nodo1,1627501300120,,,24.0,560.0,3.0,43.0
nodo1,nodo1,1627501331739,,,25.0,569.0,3.0,43.0
nodo1,nodo1,1627501426660,,,17.0,515.0,4.0,43.0
nodo1,nodo1,1627501711368,,,21.0,542.0,4.0,43.0
nodo1,nodo1,1627501869549,,,14.0,492.0,3.0,43.0
nodo1,nodo1,1627502090997,,,14.0,492.0,3.0,43.0
nodo1,nodo1,1627502154282,,,15.0,500.0,3.0,43.0
nodo1,nodo1,1627502249178,,,14.0,495.0,3.0,43.0
nodo1,nodo1,1627502375727,,,12.0,482.0,3.0,43.0
nodo1,nodo1,1627502439009,,,9.0,465.0,3.0,43.0
nodo1,nodo1,1627502565545,,,8.0,454.0,3.0,43.0
nodo1,nodo1,1627502755365,,,6.0,442.0,3.0,43.0
nodo1,nodo1,1627502818618,,,3.0,423.0,3.0,43.0
nodo1,nodo1,1627502913521,,,6.0,444.0,3.0,43.0
nodo1,nodo1,1627502976793,,,4.0,427.0,3.0,43.0
nodo1,nodo1,1627503008433,,,7.0,446.0,3.0,43.0
nodo1,nodo1,1627496744449,,,1.0,413.0,5.0,43.0
nodo1,nodo1,1627496776083,,,3.0,422.0,5.0,43.0
nodo1,nodo1,1627496839353,,,2.0,415.0,5.0,43.0
nodo1,nodo1,1627496965890,,,4.0,432.0,5.0,43.0
nodo1,nodo1,1627496997524,,,8.0,459.0,5.0,43.0
nodo1,nodo1,1627497250609,,,17.0,514.0,5.0,43.0
nodo1,nodo1,1627497282246,,,14.0,492.0,5.0,43.0
nodo1,nodo1,1627497313877,,,17.0,515.0,5.0,43.0
nodo1,nodo1,1627497440429,,,25.0,565.0,5.0,43.0
nodo1,nodo1,1627497535323,,,19.0,530.0,6.0,43.0
nodo1,nodo1,1627497788413,,,10.0,472.0,5.0,43.0
nodo1,nodo1,1627497820065,,,9.0,462.0,5.0,43.0
nodo1,nodo1,1627497851681,,,10.0,466.0,5.0,43.0
nodo1,nodo1,1627498009856,,,3.0,421.0,5.0,43.0
nodo1,nodo1,1627498073129,,,1.0,410.0,5.0,43.0
nodo1,nodo1,1627498136394,,,0.0,405.0,5.0,43.0
nodo1,nodo1,1627498294567,,,8.0,459.0,6.0,43.0
nodo1,nodo1,1627498452748,,,1.0,413.0,5.0,43.0
nodo1,nodo1,1627498547647,,,2.0,418.0,5.0,43.0
nodo1,nodo1,1627498642548,,,0.0,400.0,5.0,43.0
nodo1,nodo1,1627498674192,,,1.0,407.0,5.0,43.0
nodo1,nodo1,1627498800724,,,3.0,425.0,5.0,43.0
nodo1,nodo1,1627503830949,,,2.0,414.0,3.0,43.0
nodo1,nodo1,1627503925856,,,0.0,400.0,3.0,43.0